msi_marker	baseline_value_threshold	baseline_pValue_threshold	baseline_valid_direction	baseline_mean	baseline_std	baseline_model_index_set	baseline_values	sample_size
chr6-117725383-117725398-A15	0.925	0.000983154913405	g	0.956681924528	0.00914136251528	14,15,16,17	0.957168,0.966086,0.964612,0.957706,0.974321,0.962482,0.956679,0.956853,0.960198,0.928375,0.940387,0.947105,0.956141,0.947368,0.961697,0.965313,0.965665,0.960813,0.964839,0.9576,0.949839,0.958449,0.957393,0.955475,0.963696,0.961089,0.946366,0.9576,0.952756,0.962135,0.942077,0.945081,0.931464,0.958859,0.969624,0.948475,0.96319,0.960785,0.954266,0.95642,0.951923,0.959442,0.965278,0.9504,0.970494,0.946712,0.947368,0.965224,0.966514,0.967247,0.956274,0.95082,0.959999	53
chr14-23652346-23652367-NR-21	0.975	0.36861005482	g	0.987343611111	0.0310385182483	18,19,20,21,22,23,24,25,26,27	0.997807,0.997321,0.99598,0.994624,0.994757,0.995972,0.994118,0.995763,0.9944,0.837981,0.995991,0.998602,0.993827,0.996023,0.997393,0.996416,0.991291,0.996402,0.999343,0.996329,0.992758,0.996122,0.986165,0.993655,0.993124,0.989466,0.993297,0.996349,0.983036,0.987677,0.990742,0.993144,0.992824,0.994066,0.998079,0.993178,0.995488,0.993725,0.995199,0.99541,0.993566,0.992851,0.995935,0.998149,0.997546,0.99721,0.995757,0.996942,0.997278,0.993364,0.85614,0.999224,0.89134,0.997409	54
chr11-108114661-108114676-T15-1	0.975	6.64370882889e-28	g	0.997161740741	0.00199566623225	13,14,15,16,17	0.997662,1.0,0.998852,0.999042,1.0,0.99831,0.996129,0.994825,0.996658,0.997355,1.0,0.998325,0.991462,0.999999,0.996364,0.998196,0.997737,0.994564,0.996835,0.997826,0.998204,0.995666,0.997455,0.996436,1.0,0.995126,0.994791,0.996397,0.998834,0.995481,0.997296,0.99884,0.991429,0.997446,0.99766,0.995012,0.994974,0.996699,0.997683,0.997874,0.995424,0.996482,0.998674,0.999313,0.994076,0.998309,0.995565,0.998377,1.0,0.996946,0.994658,1.0,0.998773,0.996693	54
chr7-116409675-116409690-T15-3	0.033	1.6360702959e-06	l	0.00872714814815	0.00487326600275	9,10,11	0.010903,0.007605,0.003995,0.008696,0.013876,0.01374,0.007331,0.006153,0.012379,0.015873,0.011286,0.01878,0.006897,0.00955,0.016129,0.006316,0.011682,0.013333,0.008615,0.008726,0.007699,0.003315,0.003306,0.023746,0.004975,0.017034,0.007794,0.010846,0.007605,0.002033,0.0,0.018208,0.009901,0.007712,0.005081,0.006766,0.003619,0.008474,0.005957,0.009114,0.005236,0.002522,0.00647,0.009365,0.009585,0.000968,0.005063,0.003745,0.003835,0.017036,0.009456,0.008264,0.00316,0.011511	54
chr2-95849361-95849384-NR24	0.98	9.10046196377e-10	g	0.995972240741	0.00253186023644	17,18,19,20,21,22,23,24,25,26	0.999998,0.999032,0.994175,0.995129,0.998196,0.993115,0.996068,1.0,0.998916,0.989383,0.993437,0.998448,0.997235,0.998774,0.99472,0.993002,1.0,0.994575,0.998296,0.99344,0.99293,0.993871,0.998749,0.994833,0.998021,0.996305,0.997185,0.99689,0.998722,0.993442,0.992409,0.992719,0.988348,0.995038,0.995499,0.996417,0.996738,0.998023,0.998952,0.998307,0.995521,0.996709,0.996377,0.997472,0.99397,0.997273,0.99477,0.997175,0.9954,0.993975,0.994339,0.998041,0.997607,0.994535	54
chr7-143003342-143003367-CAT25	0.9573	1.48672468222e-06	g	0.98781687037	0.00610337492263	20,21,22,23,24,25,26,27,28	0.995153,0.991804,0.98347,0.987654,0.989552,0.987981,1.000001,0.990768,0.989378,0.976035,0.983506,0.987288,0.965732,0.985755,0.987446,0.979905,0.977273,0.993835,0.990437,0.981054,0.988115,0.990115,0.986632,0.993521,0.996856,0.9872,0.992805,0.981131,0.99422,0.981984,0.98192,0.994764,0.978892,0.978837,0.991967,0.98387,0.992989,0.993442,0.987787,0.989333,0.986738,0.98892,0.996359,0.991206,0.98569,0.98984,0.986324,0.984536,0.991405,0.988318,0.993104,0.982568,0.991503,0.995193	54
chr16-56718015-56718035-MT1X	0.975	2.85343070833e-12	g	0.994229296296	0.00268404590007	15,16,17,18,19,20,21,22,23	0.997174,0.989002,0.991362,0.9947,0.995732,0.990063,0.997057,0.994842,0.99591,0.990883,0.996159,0.995314,0.995193,0.987963,0.995103,0.998743,0.985871,0.998439,0.99789,0.99509,0.996357,0.995781,0.991877,0.99533,0.995025,0.994854,0.993154,0.990991,0.995318,0.994162,0.99071,0.993531,0.995349,0.990338,0.997744,0.994117,0.994825,0.996044,0.991166,0.994708,0.995283,0.996348,0.995253,0.997911,0.993684,0.993753,0.996794,0.995864,0.993121,0.989961,0.994949,0.993261,0.99497,0.993359	54
chr17-29508819-29508835-T16	0.95	5.8720856432e-13	g	0.988553222222	0.00522283852746	14,15,16,17,18,19	0.989032,0.99021,0.990293,0.992,0.990176,0.993815,0.986892,0.989858,0.990642,0.981885,0.997549,1.000001,0.979323,0.992352,0.987118,0.988219,0.987013,0.985159,0.992656,0.991349,0.987245,0.991667,0.984347,0.994351,0.987409,0.991926,0.990576,0.993216,0.988701,0.983823,0.977012,0.985842,0.988637,0.977391,0.977304,0.981652,0.987461,0.992889,0.980672,0.992414,0.987869,0.986487,0.988963,0.993151,0.996175,0.987556,0.993549,0.994459,0.997223,0.980836,0.989744,0.989323,0.986463,0.979999	54
chr4-55598211-55598236-BAT25	0.95	0.000957317807993	g	0.989925240741	0.011494396195	20,21,22,23,24,25,26,27,28	0.993144,0.990084,0.988919,0.986696,0.992753,0.992708,0.987038,0.991896,0.9978,0.986995,0.996812,0.992059,0.995729,0.992551,0.991508,0.994986,0.988204,0.992903,0.994715,0.998259,0.992588,0.995099,0.992909,0.995338,0.990979,0.990437,0.983323,0.993966,0.976459,0.992,0.992376,0.995035,0.985816,0.911822,0.99285,0.982161,0.989762,0.992842,0.989146,0.984988,0.991055,0.994525,0.996134,0.995705,0.992788,0.988755,0.989392,0.997287,0.99439,0.991511,0.990081,0.993765,0.989804,0.985116	54
chr2-39536689-39536716-MONO-27	0.975	2.53284380905e-15	g	0.997146481481	0.00273891774883	20,21,22,23,24,25,26,27,28,29,30,31,32,33	0.99772,1.000001,0.997659,0.998506,0.998551,1.000001,0.99036,1.0,0.99681,0.99716,0.99506,0.989627,0.999998,1.000001,1.000002,0.995653,0.996212,0.997182,0.996288,0.994287,1.0,0.998371,0.995633,0.99786,0.997011,0.998497,0.998524,0.998323,0.989224,0.995009,0.992657,1.000001,0.995099,0.993288,0.998709,1.000001,0.996429,0.994341,0.99844,0.995823,0.999999,0.996277,1.000003,0.997309,0.993303,0.998541,0.99802,1.0,0.999999,0.999999,0.998161,1.0,0.995535,0.994446	54
chr11-108141955-108141970-T15-2	0.820843	0.00443153723159	g	0.883432240741	0.0208629174773	14,15,16	0.896648,0.896104,0.890355,0.857793,0.899021,0.865024,0.876159,0.87511,0.901061,0.808081,0.908974,0.898266,0.891026,0.857256,0.88868,0.908422,0.870406,0.893416,0.898615,0.880373,0.861481,0.897747,0.880889,0.911628,0.893881,0.863637,0.858059,0.895096,0.860427,0.893733,0.835995,0.866221,0.835955,0.869276,0.88935,0.864226,0.877037,0.892015,0.893092,0.880953,0.897513,0.891913,0.888507,0.898356,0.886025,0.897477,0.900164,0.902582,0.893684,0.874556,0.874821,0.927233,0.903678,0.887344	54
chr11-102193508-102193534-NR-27	0.975	3.21165764369e-17	g	0.996226574074	0.00246560002164	18,19,20,21,22,23,24,25,26,27,28	0.996052,0.995018,0.999999,0.995257,0.9966,0.997436,0.998561,0.995822,0.997267,0.989965,0.997024,0.998825,0.995602,0.999999,0.995149,0.998071,0.994278,0.998844,0.998573,0.995803,0.991461,0.997874,0.994442,0.993955,0.998937,0.995247,0.996362,0.995584,0.997417,0.997125,1.0,0.991478,1.0,0.998671,0.998027,0.993403,0.99624,0.996856,0.996229,0.991494,0.998769,0.997489,0.993823,0.998574,0.993801,0.998043,0.992607,0.991043,0.998967,0.993645,0.995243,0.995481,0.997323,0.99648	54
chr9-135773000-135773018-A18	0.97	0.00121947929514	g	0.988359203704	0.0053949177812	15,16,17,18,19,20,21,22	0.996307,0.982602,0.989178,0.988095,0.994258,0.978914,0.991486,0.987,0.992419,0.98085,0.990553,0.991179,0.987076,0.990851,0.98431,0.985214,0.987365,0.990655,0.992126,0.988404,0.980693,0.996691,0.993566,0.976288,0.99373,0.988025,0.986092,0.995255,0.983741,0.988498,0.994476,0.987057,0.991631,0.979478,0.990077,0.98048,0.987076,0.988854,0.990812,0.994815,0.989584,0.98661,0.991174,0.995155,0.987013,0.994089,0.988363,0.983981,0.99027,0.995164,0.982074,0.997479,0.974464,0.9798	54
chr4-153268227-153268241-A14	0.968571	1.48590424497e-06	g	0.98672887037	0.00363149439725	12,13,14,15,16	0.982705,0.985999,0.986383,0.99121,0.986398,0.985743,0.990152,0.9887,0.988697,0.979041,0.989157,0.990972,0.981043,0.985965,0.986928,0.990025,0.99146,0.986493,0.989993,0.988181,0.983516,0.988685,0.980109,0.979741,0.989787,0.989535,0.991725,0.98638,0.985145,0.989046,0.987511,0.986864,0.980392,0.983857,0.990554,0.986279,0.983371,0.991166,0.986167,0.988559,0.982202,0.98446,0.98933,0.989454,0.988788,0.993358,0.990351,0.983561,0.984768,0.979984,0.982092,0.992653,0.986464,0.98226	54
chr11-125490765-125490786-NR-22	0.974265	1.68345180387e-06	g	0.994231833333	0.0040133668361	17,18,19,20,21,22,23,24	0.991184,0.998196,0.99521,0.998146,0.998518,0.994039,0.991422,0.997488,0.992817,0.978724,0.998613,0.996383,0.991893,0.991628,0.993121,0.994553,0.99475,0.995459,0.994389,0.993861,0.993686,0.994919,0.989717,0.992661,0.995682,0.996235,0.994453,0.997611,0.993741,0.985843,0.998541,0.992629,0.983929,0.992839,0.998215,0.986683,0.990682,0.995211,0.998547,0.992064,0.999999,0.991991,0.99667,0.996266,0.995328,0.9976,0.996409,0.998862,0.998408,0.989234,0.99422,0.998781,0.997074,0.993395	54
chr11-108188266-108188279-T13	0.98	2.22711982999e-08	g	0.995515074074	0.00268452336518	11,12,13,14,15	0.996317,0.997015,0.996059,0.996141,0.996454,0.992987,0.994006,0.992522,0.995891,0.994464,0.997396,0.994468,0.996978,0.997228,0.993319,0.99849,1.000001,0.997201,0.994833,0.997217,0.996551,0.996729,0.996951,0.997777,0.998341,0.99371,0.994696,0.996515,0.984719,0.994174,0.992701,0.994018,0.98687,0.995898,0.997958,0.993641,0.995809,0.995528,1.0,0.993578,0.997389,0.992545,0.996485,0.994386,0.991021,0.996969,0.9969,0.994846,0.998485,0.996217,0.9974,0.997267,0.99639,0.996363	54
